URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://jefersonrl.github.io/AgroSUS-FHIR/ValueSet/agrosus-motivo-nao-uso-epi,0.1.0,active,,AgroSUSMotivoNaoUsoEPIVS,Motivos de não utilização de EPI,"Motivos declarados para a não utilização dos equipamentos de proteção individual.",,"Internal"
https://jefersonrl.github.io/AgroSUS-FHIR/ValueSet/agrosus-numero-intoxicacoes-agudas,0.1.0,active,,AgroSUSNumeroIntoxicacoesAgudasVS,Número de intoxicações agudas anteriores,"Faixas para registro do número autorreferido de episódios anteriores de intoxicação aguda.",,"Internal"
https://jefersonrl.github.io/AgroSUS-FHIR/ValueSet/agrosus-ocupacao-acs,0.1.0,active,,AgroSUSOcupacaoACSVS,Ocupações permitidas para o ACS no AgroSUS,"Ocupações da Classificação Brasileira de Ocupações permitidas para o profissional que aplica a anamnese AgroSUS.",,"br.gov.saude.terminologia.fhir"
https://jefersonrl.github.io/AgroSUS-FHIR/ValueSet/agrosus-ocupacao-profissional-ubs,0.1.0,active,,AgroSUSOcupacaoProfissionalUBSVS,Ocupações dos profissionais assistenciais da UBS,"Ocupações CBO permitidas para profissionais assistenciais que utilizam o dashboard AgroSUS na Unidade Básica de Saúde.",,"br.gov.saude.terminologia.fhir"
https://jefersonrl.github.io/AgroSUS-FHIR/ValueSet/agrosus-responsavel-aplicacao,0.1.0,active,,AgroSUSResponsavelAplicacaoVS,Responsável pela aplicação,"Pessoas ou organizações que realizam a aplicação dos defensivos agrícolas.",,"Internal"
https://jefersonrl.github.io/AgroSUS-FHIR/ValueSet/agrosus-resultados-laboratoriais,0.1.0,draft,,AgroSUSResultadosLaboratoriaisVS,Resultados Laboratoriais AgroSUS,"Biomarcadores laboratoriais utilizados no acompanhamento assistencial dos trabalhadores rurais no AgroSUS.",,"LOINC"
https://jefersonrl.github.io/AgroSUS-FHIR/ValueSet/agrosus-sintoma-ultimos-30-dias,0.1.0,active,,AgroSUSSintomaUltimos30DiasVS,Sinais e sintomas dos últimos 30 dias,"Sinais e sintomas investigados pelo formulário AgroSUS, sem significado diagnóstico isolado.",,"Internal"
https://jefersonrl.github.io/AgroSUS-FHIR/ValueSet/agrosus-situacao-posse,0.1.0,draft,,AgroSUSSituacaoPosseVS,Situação de Posse da Terra,"Situações de posse da propriedade rural.",,"Internal"
https://jefersonrl.github.io/AgroSUS-FHIR/ValueSet/agrosus-temas-capacitacao,0.1.0,draft,,AgroSUSTemasCapacitacaoVS,Temas de Capacitação AgroSUS,"Temas que podem ser selecionados no registro de capacitação do trabalhador rural.",,"Internal"
https://jefersonrl.github.io/AgroSUS-FHIR/ValueSet/agrosus-tipo-coleta,0.1.0,draft,,AgroSUSTipoColetaVS,Tipos de Coleta AgroSUS,"Modalidades permitidas para aplicação do formulário AgroSUS.",,"Internal"
https://jefersonrl.github.io/AgroSUS-FHIR/ValueSet/agrosus-tipo-producao,0.1.0,draft,,AgroSUSTipoProducaoVS,Tipo de Produção Agrícola,"Tipos de produção utilizados na propriedade rural.",,"Internal"
https://jefersonrl.github.io/AgroSUS-FHIR/ValueSet/agrosus-via-exposicao,0.1.0,active,,AgroSUSViaExposicaoVS,Vias de exposição,"Vias mais comuns de exposição aos defensivos agrícolas.",,"Internal"
